users.qq.com	[123.206.33.170]
ark.qq.com	[203.205.147.196]
asr.qq.com	[58.251.81.188]
ask.qq.com	[0.0.0.1]
atc.qq.com	[140.207.123.187]
aurora.qq.com	[0.0.0.1]
audit.qq.com	[0.0.0.1]
avengers.qq.com	[0.0.0.1]
ax.qq.com	[0.0.0.1]
asura.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
awm.qq.com	[0.0.0.1]
avatar.qq.com	[0.0.0.1]
bacon.qq.com	[0.0.0.1]
att.qq.com	[0.0.0.1]
ava.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
baba.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
bada.qq.com	[163.177.73.178 163.177.73.162 163.177.73.175 163.177.73.176]
band.qq.com	[0.0.0.1]
bao.qq.com	[101.226.233.187]
bang.qq.com	[223.167.86.170]
bandaid.qq.com	[0.0.0.1]
baby.qq.com	[203.205.151.47]
barcode.qq.com	[203.205.142.147]
battle.qq.com	[103.7.30.123]
bass.qq.com	[0.0.0.1]
bear.qq.com	[0.0.0.1]
bak.qq.com	[61.151.217.46 101.226.86.182]
beacon.qq.com	[203.205.179.231 203.205.179.230]
bella.qq.com	[203.205.151.47]
bbc.qq.com	[0.0.0.1]
bbn.qq.com	[0.0.0.1]
b2c.qq.com	[58.250.136.104]
bigbang.qq.com	[0.0.0.1]
bingo.qq.com	[183.57.48.17]
bi.qq.com	[203.205.151.47]
bk.qq.com	[0.0.0.1]
bf.qq.com	[0.0.0.1]
birds.qq.com	[203.205.138.21 203.205.158.65 203.205.158.64 203.205.158.58 203.205.138.20]
bio.qq.com	[0.0.0.1]
blade.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
block.qq.com	[0.0.0.1]
blt.qq.com	[103.7.30.123]
boke.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
bobo.qq.com	[203.205.151.21]
bottom.qq.com	[0.0.0.1]
boss.qq.com	[0.0.0.1]
bonus.qq.com	[183.3.233.164]
box.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
brand.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
boom.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
brew.qq.com	[58.251.148.247 58.251.148.139]
bread.qq.com	[0.0.0.1]
bosch.qq.com	[0.0.0.1]
btr.qq.com	[0.0.0.1]
broadcast.qq.com	[0.0.0.1]
bud.qq.com	[0.0.0.1]
budweiser.qq.com	[0.0.0.1]
bsg.qq.com	[0.0.0.1]
btest.qq.com	[163.177.92.75]
bst.qq.com	[183.232.94.102]
cai.qq.com	[0.0.0.1]
camera.qq.com	[163.177.68.178]
cap.qq.com	[203.205.151.14]
candy.qq.com	[0.0.0.1]
cartoon.qq.com	[103.7.30.123]
cam.qq.com	[203.205.151.26]
campus.qq.com	[203.205.151.47]
catcher.qq.com	[58.247.214.71]
cbl.qq.com	[103.7.30.123]
carry.qq.com	[0.0.0.1]
ccd.qq.com	[103.7.30.123]
ccs.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
cb.qq.com	[219.133.60.197]
cen.qq.com	[0.0.0.1]
cdc.qq.com	[14.17.41.228]
cf.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
cdp.qq.com	[203.205.151.14]
chain.qq.com	[183.3.225.122]
chao.qq.com	[203.205.219.228]
che.qq.com	[203.205.151.51]
chart.qq.com	[112.90.77.139]
cheng.qq.com	[0.0.0.1]
chess.qq.com	[0.0.0.1]
cfm.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
chevy.qq.com	[0.0.0.1]
chicken.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
china.qq.com	[203.205.151.47]
chic.qq.com	[103.7.30.123]
beyond.qq.com	[0.0.0.1]
chen.qq.com	[0.0.0.1]
chrysler.qq.com	[0.0.0.1]
chuang.qq.com	[0.0.0.1]
chun.qq.com	[103.7.30.123]
chong.qq.com	[203.205.151.21]
cjm.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
civ.qq.com	[0.0.0.1]
ck.qq.com	[0.0.0.1]
classical.qq.com	[103.7.30.123]
clock.qq.com	[0.0.0.1]
cj.qq.com	[183.61.51.29]
cloud.qq.com	[119.28.38.179 119.28.34.128]
cmu.qq.com	[0.0.0.1]
cmc.qq.com	[0.0.0.1]
cmp.qq.com	[0.0.0.1]
code.qq.com	[0.0.0.1]
circle.qq.com	[203.205.219.231]
coc.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
coffee.qq.com	[0.0.0.1]
cola.qq.com	[0.0.0.1]
coke.qq.com	[0.0.0.1]
college.qq.com	[14.17.42.64]
commune.qq.com	[219.133.49.155]
compass.qq.com	[183.232.88.153]
connect.qq.com	[203.205.151.50]
converse.qq.com	[0.0.0.1]
coral.qq.com	[203.205.151.45]
cod.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
color.qq.com	[0.0.0.1]
comic.qq.com	[58.246.220.12]
cookie.qq.com	[0.0.0.1]
coop.qq.com	[125.39.133.40]
cos.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
cq.qq.com	[203.205.151.47]
cross.qq.com	[0.0.0.1]
cpc.qq.com	[0.0.0.1]
crash.qq.com	[0.0.0.1]
credit.qq.com	[0.0.0.1]
csb.qq.com	[0.0.0.1]
crown.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
css.qq.com	[0.0.0.1]
cue.qq.com	[134.175.75.18]
ctt.qq.com	[0.0.0.1]
csv.qq.com	[0.0.0.1]
cti.qq.com	[203.205.151.47]
ct.qq.com	[0.0.0.1]
current.qq.com	[0.0.0.1]
cube.qq.com	[0.0.0.1]
cheer.qq.com	[61.151.217.46 101.226.86.182]
cps.qq.com	[203.205.151.21]
da.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
dada.qq.com	[0.0.0.1]
daas.qq.com	[0.0.0.1]
dav.qq.com	[220.249.243.199 157.255.174.114]
cy.qq.com	[203.205.151.47]
dao.qq.com	[203.205.151.47]
dark.qq.com	[0.0.0.1]
databank.qq.com	[0.0.0.1]
daphne.qq.com	[0.0.0.1]
darwin.qq.com	[61.151.229.203 61.151.225.225]
dance.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
date.qq.com	[101.226.86.182 61.151.217.46]
dcd.qq.com	[0.0.0.1]
ddd.qq.com	[0.0.0.1]
debug.qq.com	[0.0.0.1]
defender.qq.com	[14.17.30.93]
ddt.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
denny.qq.com	[0.0.0.1]
dep.qq.com	[0.0.0.1]
deco.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
df.qq.com	[0.0.0.1]
dcg.qq.com	[0.0.0.1]
dcm.qq.com	[183.3.233.164]
dfj.qq.com	[0.0.0.1]
desk.qq.com	[203.205.128.167]
dg.qq.com	[0.0.0.1]
dh.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
device.qq.com	[58.250.137.43]
dfm.qq.com	[0.0.0.1]
dinner.qq.com	[0.0.0.1]
digi.qq.com	[103.7.30.123]
djt.qq.com	[58.251.81.26]
dlm.qq.com	[0.0.0.1]
dns2.qq.com	[61.135.157.245]
dns1.qq.com	[219.133.41.245]
ding.qq.com	[0.0.0.1]
dn.qq.com	[203.205.158.37 203.205.158.38 203.205.138.57 203.205.138.79 203.205.158.59]
dmc.qq.com	[14.17.32.188]
display.qq.com	[0.0.0.1]
djc.qq.com	[61.151.224.51]
dkh.qq.com	[0.0.0.1]
dong.qq.com	[203.205.179.230 203.205.179.231]
dove.qq.com	[0.0.0.1]
dna.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
doudou.qq.com	[0.0.0.1]
down.qq.com	[203.205.138.242 119.28.164.220 203.205.138.241 203.205.158.43 203.205.138.243 203.205.158.48 203.205.138.244 119.28.164.222 203.205.158.41 119.28.164.223 203.205.138.240 203.205.158.40 119.28.164.219]
dld.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
dr.qq.com	[0.0.0.1]
dov.qq.com	[203.205.151.14]
domo.qq.com	[101.226.86.182 61.151.217.46]
dp.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
dps.qq.com	[0.0.0.1]
drive.qq.com	[0.0.0.1]
dso.qq.com	[0.0.0.1]
ds.qq.com	[0.0.0.1]
dsp.qq.com	[0.0.0.1]
dpl.qq.com	[0.0.0.1]
dream.qq.com	[103.7.30.123]
du.qq.com	[0.0.0.1]
dts.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
dt.qq.com	[203.205.128.112]
duo.qq.com	[183.232.88.238]
dsg.qq.com	[0.0.0.1]
dv.qq.com	[0.0.0.1]
dw.qq.com	[203.205.151.41]
ea.qq.com	[0.0.0.1]
ears.qq.com	[0.0.0.1]
duty.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
dwn.qq.com	[101.227.160.30]
ear.qq.com	[0.0.0.1]
dy.qq.com	[103.7.30.123]
editor.qq.com	[0.0.0.1]
economy.qq.com	[203.205.151.47]
ei.qq.com	[0.0.0.1]
cosmo.qq.com	[103.7.30.123]
eight.qq.com	[101.226.86.182 61.151.217.46]
eid.qq.com	[0.0.0.1]
em.qq.com	[112.90.77.139]
encore.qq.com	[0.0.0.1]
ep.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
empire.qq.com	[0.0.0.1]
epic.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
epc.qq.com	[0.0.0.1]
ent.qq.com	[203.205.151.47]
error.qq.com	[0.0.0.1]
english.qq.com	[203.205.219.231]
ex.qq.com	[157.255.174.114 220.249.243.199]
europa.qq.com	[0.0.0.1]
ernie.qq.com	[59.37.116.43]
eyes.qq.com	[0.0.0.1]
eve.qq.com	[0.0.0.1]
explore.qq.com	[58.247.214.40]
face.qq.com	[103.7.30.72]
fang.qq.com	[58.251.148.247 58.251.148.139]
fb.qq.com	[0.0.0.1]
fc.qq.com	[111.230.189.144]
fast.qq.com	[0.0.0.1]
exp.qq.com	[203.205.151.247]
fd.qq.com	[0.0.0.1]
fact.qq.com	[203.205.151.47]
fbi.qq.com	[163.177.71.179]
fh.qq.com	[0.0.0.1]
fen.qq.com	[0.0.0.1]
fighter.qq.com	[0.0.0.1]
family.qq.com	[203.205.151.26]
find.qq.com	[125.39.240.37]
fcm.qq.com	[14.17.41.220]
fct.qq.com	[193.112.225.48]
fda.qq.com	[0.0.0.1]
first.qq.com	[0.0.0.1]
fg.qq.com	[203.205.147.218]
fire.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
five.qq.com	[0.0.0.1]
film.qq.com	[23.219.132.103]
flower.qq.com	[203.205.179.230 203.205.179.231]
finance.qq.com	[203.205.151.47]
fmc.qq.com	[0.0.0.1]
fish.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
food.qq.com	[203.205.138.20 203.205.138.21 203.205.158.65 203.205.158.64 203.205.158.58]
flight.qq.com	[0.0.0.1]
fps.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
fn.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
football.qq.com	[203.205.138.20 203.205.138.21 203.205.158.65 203.205.158.64 203.205.158.58]
forest.qq.com	[0.0.0.1]
form.qq.com	[0.0.0.1]
ft.qq.com	[0.0.0.1]
fruit.qq.com	[0.0.0.1]
function.qq.com	[103.7.30.72]
fsf.qq.com	[0.0.0.1]
fsj.qq.com	[0.0.0.1]
fx.qq.com	[203.205.142.160]
fusion.qq.com	[203.205.151.50]
fwd.qq.com	[0.0.0.1]
gad.qq.com	[14.17.57.225]
gaia.qq.com	[0.0.0.1]
gang.qq.com	[0.0.0.1]
etest.qq.com	[100.113.10.33]
garden.qq.com	[0.0.0.1]
fy.qq.com	[0.0.0.1]
gap.qq.com	[203.205.151.160]
fz.qq.com	[203.205.158.37 203.205.158.38 203.205.138.57 203.205.138.79 203.205.158.59]
gamer.qq.com	[58.247.214.109]
gdt.qq.com	[163.177.68.205]
game.qq.com	[203.205.158.38 203.205.138.57 203.205.138.79 203.205.158.59 203.205.158.37]
gdb.qq.com	[0.0.0.1]
galaxy.qq.com	[0.0.0.1]
gdc.qq.com	[183.60.118.96]
gb.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
gc.qq.com	[203.205.219.231]
girl.qq.com	[0.0.0.1]
geo.qq.com	[0.0.0.1]
gog.qq.com	[0.0.0.1]
gods.qq.com	[0.0.0.1]
get.qq.com	[203.205.219.231]
god.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
gj.qq.com	[203.205.179.230 203.205.179.231]
gift.qq.com	[0.0.0.1]
gluttony.qq.com	[0.0.0.1]
gov.qq.com	[0.0.0.1]
graph.qq.com	[103.7.30.64]
green.qq.com	[103.7.30.123]
greatwall.qq.com	[111.230.125.213]
grd.qq.com	[0.0.0.1]
gri.qq.com	[163.177.71.179]
growth.qq.com	[134.175.158.19]
guild.qq.com	[0.0.0.1]
guard.qq.com	[163.177.90.19]
gps.qq.com	[0.0.0.1]
h.qq.com	[0.0.0.1]
habo.qq.com	[203.205.128.167]
gun.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
hammer.qq.com	[0.0.0.1]
hall.qq.com	[0.0.0.1]
halley.qq.com	[61.151.225.225 61.151.229.203]
hao.qq.com	[203.205.128.11]
han.qq.com	[0.0.0.1]
hea.qq.com	[203.205.151.47]
hawk.qq.com	[0.0.0.1]
hb.qq.com	[203.205.151.47]
here.qq.com	[61.151.217.46 101.226.86.182]
heat.qq.com	[203.205.179.230 203.205.179.231]
hez.qq.com	[203.205.151.41]
hero.qq.com	[0.0.0.1]
hl.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
hijack.qq.com	[111.30.138.172]
hg.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
hoop.qq.com	[203.205.151.47]
homework.qq.com	[0.0.0.1]
history.qq.com	[203.205.151.47]
hj.qq.com	[0.0.0.1]
house.qq.com	[203.205.151.47]
hobby.qq.com	[0.0.0.1]
hot.qq.com	[203.205.179.231 203.205.179.230]
holiday.qq.com	[103.7.30.123]
horizon.qq.com	[203.205.151.247]
guo.qq.com	[0.0.0.1]
hua.qq.com	[0.0.0.1]
hs.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
hun.qq.com	[0.0.0.1]
hss.qq.com	[0.0.0.1]
hy.qq.com	[203.205.142.160]
hunt.qq.com	[0.0.0.1]
https.qq.com	[203.205.151.47]
iac.qq.com	[0.0.0.1]
icetea.qq.com	[0.0.0.1]
icare.qq.com	[103.7.30.123]
ice.qq.com	[0.0.0.1]
ido.qq.com	[203.205.151.21]
idea.qq.com	[121.51.132.57]
ig.qq.com	[0.0.0.1]
if.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
ika.qq.com	[58.250.9.40]
ib.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
imap.qq.com	[58.251.139.219 163.177.72.198]
ime.qq.com	[0.0.0.1]
hz.qq.com	[103.7.30.123]
image.qq.com	[203.205.128.167]
ics.qq.com	[0.0.0.1]
inet.qq.com	[0.0.0.1]
inf.qq.com	[101.226.103.89]
imc.qq.com	[14.17.32.142]
intel.qq.com	[0.0.0.1]
ip.qq.com	[0.0.0.1]
insight.qq.com	[203.205.151.47]
ipp.qq.com	[0.0.0.1]
irs.qq.com	[125.39.133.45]
isd.qq.com	[0.0.0.1]
iso.qq.com	[123.151.66.17]
iv.qq.com	[58.250.136.111]
istar.qq.com	[61.151.217.46 101.226.86.182]
iu.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
iwan.qq.com	[59.37.96.241 203.205.151.41]
j.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
jdb.qq.com	[0.0.0.1]
jc.qq.com	[0.0.0.1]
jdl.qq.com	[0.0.0.1]
jdm.qq.com	[0.0.0.1]
jade.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
jd.qq.com	[0.0.0.1]
ios.qq.com	[203.205.219.231]
jfb.qq.com	[0.0.0.1]
jfm.qq.com	[0.0.0.1]
jia.qq.com	[183.66.97.161]
jhm.qq.com	[0.0.0.1]
jj.qq.com	[0.0.0.1]
ji.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
jg.qq.com	[112.90.77.139]
jh.qq.com	[0.0.0.1]
jf.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
job.qq.com	[219.133.48.42]
jn.qq.com	[103.7.30.123]
jimu.qq.com	[0.0.0.1]
jjj.qq.com	[203.205.151.47]
jl.qq.com	[103.7.30.123]
jb.qq.com	[0.0.0.1]
jin.qq.com	[163.177.73.176 163.177.73.178 163.177.73.162 163.177.73.175]
jk.qq.com	[0.0.0.1]
joy.qq.com	[203.205.151.47]
joke.qq.com	[203.205.151.47]
js.qq.com	[203.205.151.47]
jt.qq.com	[0.0.0.1]
joker.qq.com	[0.0.0.1]
juventus.qq.com	[203.205.151.47]
juice.qq.com	[0.0.0.1]
jr.qq.com	[1.1.1.1]
jump.qq.com	[184.51.15.142 184.51.15.172]
jw.qq.com	[0.0.0.1]
kan.qq.com	[203.205.138.57 203.205.138.79 203.205.158.59 203.205.158.37 203.205.158.38]
juju.qq.com	[61.151.217.46 101.226.86.182]
juba.qq.com	[101.226.86.182 61.151.217.46]
kbs.qq.com	[203.205.151.47]
kc.qq.com	[203.205.179.230 203.205.179.231]
kdb.qq.com	[0.0.0.1]
kapu.qq.com	[203.205.142.199]
kd.qq.com	[203.205.151.50]
kart.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
kids.qq.com	[103.7.30.123]
key.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
keys.qq.com	[58.250.136.111]
kill.qq.com	[0.0.0.1]
kingkong.qq.com	[0.0.0.1]
kfc.qq.com	[0.0.0.1]
kf.qq.com	[59.37.96.218]
kid.qq.com	[203.205.151.47]
kl.qq.com	[58.251.148.139 58.251.148.247]
kitty.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
kof.qq.com	[0.0.0.1]
ksf.qq.com	[0.0.0.1]
kt.qq.com	[0.0.0.1]
kubo.qq.com	[0.0.0.1]
kpl.qq.com	[58.247.206.182]
kylin.qq.com	[0.0.0.1]
lady.qq.com	[103.7.30.123]
lai.qq.com	[0.0.0.1]
label.qq.com	[0.0.0.1]
ldp.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
lang.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
last.qq.com	[0.0.0.1]
lct.qq.com	[203.205.151.21]
leaf.qq.com	[59.37.96.56]
learning.qq.com	[203.205.151.47]
leap.qq.com	[0.0.0.1]
law.qq.com	[119.29.215.76]
ld.qq.com	[0.0.0.1]
lego.qq.com	[0.0.0.1]
lh.qq.com	[203.205.151.26]
liang.qq.com	[0.0.0.1]
lg.qq.com	[103.7.30.123]
levin.qq.com	[0.0.0.1]
list.qq.com	[0.0.0.1]
lipton.qq.com	[0.0.0.1]
lm.qq.com	[101.227.130.59]
libs.qq.com	[203.205.151.47]
lo.qq.com	[0.0.0.1]
lll.qq.com	[0.0.0.1]
lj.qq.com	[183.232.94.102]
localhost.qq.com	[0.0.0.1]
ll.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
line.qq.com	[101.226.103.40]
ln.qq.com	[203.205.151.47]
lpc.qq.com	[0.0.0.1]
lolo.qq.com	[0.0.0.1]
lms.qq.com	[0.0.0.1]
lq.qq.com	[0.0.0.1]
lord.qq.com	[0.0.0.1]
luan.qq.com	[0.0.0.1]
lp.qq.com	[203.205.158.58 203.205.138.20 203.205.138.21 203.205.158.65 203.205.158.64]
lx.qq.com	[0.0.0.1]
ltd.qq.com	[112.90.77.139]
mag.qq.com	[0.0.0.1]
magic.qq.com	[103.7.30.72]
mad.qq.com	[61.151.217.46 101.226.86.182]
mark.qq.com	[163.177.84.24]
marble.qq.com	[0.0.0.1]
marketing.qq.com	[0.0.0.1]
market.qq.com	[0.0.0.1]
mars.qq.com	[0.0.0.1]
match.qq.com	[14.17.57.194]
mask.qq.com	[203.205.128.168 203.205.128.169]
mate.qq.com	[0.0.0.1]
mb.qq.com	[203.205.179.230 203.205.179.231]
mcd.qq.com	[0.0.0.1]
mcm.qq.com	[0.0.0.1]
matrix.qq.com	[101.226.86.182 61.151.217.46]
mcp.qq.com	[0.0.0.1]
mbox.qq.com	[0.0.0.1]
meeting.qq.com	[58.251.100.24]
medialab.qq.com	[203.205.151.51]
mdata.qq.com	[61.151.217.46 101.226.86.182]
meng.qq.com	[0.0.0.1]
mff.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
metal.qq.com	[0.0.0.1]
metro.qq.com	[101.226.86.182 61.151.217.46]
mf.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
mgw.qq.com	[0.0.0.1]
midas.qq.com	[59.37.116.64 59.37.96.221]
mia.qq.com	[0.0.0.1]
mid.qq.com	[0.0.0.1]
milk.qq.com	[0.0.0.1]
milo.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
minutemaid.qq.com	[0.0.0.1]
mil.qq.com	[203.205.151.47]
mho.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
mkt.qq.com	[101.226.86.182 61.151.217.46]
mj.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
mini.qq.com	[203.205.151.47]
mob.qq.com	[61.151.217.46 101.226.86.182]
mobi.qq.com	[101.226.86.182 61.151.217.46]
mir.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
moa.qq.com	[0.0.0.1]
moc.qq.com	[120.198.199.152]
mmp.qq.com	[0.0.0.1]
module.qq.com	[14.17.57.198]
moka.qq.com	[0.0.0.1]
monkey.qq.com	[111.230.163.170]
mmm.qq.com	[0.0.0.1]
mmd.qq.com	[0.0.0.1]
merc.qq.com	[203.205.219.146]
moo.qq.com	[203.205.158.52 203.205.138.19 203.205.158.66]
mop.qq.com	[0.0.0.1]
moment.qq.com	[0.0.0.1]
mma.qq.com	[203.205.151.21]
mimi.qq.com	[184.51.15.172 184.51.15.142]
mos.qq.com	[0.0.0.1]
mms.qq.com	[58.251.148.247 58.251.148.139]
motorola.qq.com	[0.0.0.1]
moni.qq.com	[0.0.0.1]
moss.qq.com	[58.250.136.22]
mou.qq.com	[0.0.0.1]
msg.qq.com	[0.0.0.1]
mrl.qq.com	[0.0.0.1]
mta.qq.com	[59.37.97.25]
movie.qq.com	[103.7.30.123]
msf.qq.com	[101.226.86.182 61.151.217.46]
mtp.qq.com	[203.205.151.46]
mur.qq.com	[121.51.141.112]
museum.qq.com	[0.0.0.1]
msm.qq.com	[101.226.89.167]
mz.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
nana.qq.com	[0.0.0.1]
nanjing.qq.com	[203.205.151.47]
nba.qq.com	[184.51.15.172 184.51.15.142]
nb.qq.com	[0.0.0.1]
mvs.qq.com	[58.251.81.190]
nds.qq.com	[0.0.0.1]
netgate.qq.com	[219.133.48.170]
ndc.qq.com	[203.205.151.41]
nfs.qq.com	[0.0.0.1]
nike.qq.com	[0.0.0.1]
nlp.qq.com	[125.39.133.28]
ninja.qq.com	[58.251.81.193]
niu.qq.com	[58.251.148.139 58.251.148.247]
nimitz.qq.com	[183.61.38.179]
noah.qq.com	[0.0.0.1]
notebook.qq.com	[103.7.30.123]
note.qq.com	[0.0.0.1]
novel.qq.com	[101.226.103.89]
nmc.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
nw.qq.com	[0.0.0.1]
o.qq.com	[203.205.219.231]
oa.qq.com	[0.0.0.1]
oc.qq.com	[0.0.0.1]
nws.qq.com	[111.161.53.75]
offline.qq.com	[58.251.139.217]
ol.qq.com	[0.0.0.1]
ooc.qq.com	[0.0.0.1]
on.qq.com	[0.0.0.1]
ooo.qq.com	[0.0.0.1]
oops.qq.com	[163.177.92.68]
omo.qq.com	[0.0.0.1]
ocr.qq.com	[203.205.151.21]
op.qq.com	[0.0.0.1]
olympic.qq.com	[103.7.30.123]
oreo.qq.com	[0.0.0.1]
oracle.qq.com	[101.226.86.182 61.151.217.46]
one.qq.com	[0.0.0.1]
osm.qq.com	[0.0.0.1]
os.qq.com	[203.205.219.231]
oma.qq.com	[103.7.30.79]
oto.qq.com	[163.177.73.162 163.177.73.175 163.177.73.176 163.177.73.178]
pack.qq.com	[0.0.0.1]
oz.qq.com	[183.232.98.145]
pai.qq.com	[0.0.0.1]
ott.qq.com	[0.0.0.1]
pad.qq.com	[0.0.0.1]
panama.qq.com	[0.0.0.1]
next.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
panda.qq.com	[58.251.81.197]
pan.qq.com	[0.0.0.1]
pac.qq.com	[14.17.43.248]
pao.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
pang.qq.com	[103.7.30.90]
paragon.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
pal.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
patent.qq.com	[203.205.151.223]
pala.qq.com	[0.0.0.1]
patrol.qq.com	[183.232.88.209]
palm.qq.com	[203.205.219.231]
papa.qq.com	[58.251.148.139 58.251.148.247]
path.qq.com	[0.0.0.1]
pcf.qq.com	[0.0.0.1]
pd.qq.com	[103.7.30.52]
pecker.qq.com	[0.0.0.1]
peng.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
peak.qq.com	[0.0.0.1]
pepsi.qq.com	[0.0.0.1]
pet.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
pgc.qq.com	[0.0.0.1]
philips.qq.com	[0.0.0.1]
pie.qq.com	[203.205.151.21]
phs.qq.com	[0.0.0.1]
ping.qq.com	[0.0.0.1]
origin.qq.com	[101.226.103.89]
pin.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
pilot.qq.com	[183.61.56.30]
play.qq.com	[125.39.213.73]
pim.qq.com	[203.205.128.167]
plane.qq.com	[0.0.0.1]
place.qq.com	[61.151.217.46 101.226.86.182]
planet.qq.com	[111.230.160.129]
pix.qq.com	[103.7.30.44]
picture.qq.com	[61.151.217.46 101.226.86.182]
pm.qq.com	[203.205.128.167]
pms.qq.com	[203.205.151.50]
pingpong.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
plus.qq.com	[203.205.179.230 203.205.179.231]
poe.qq.com	[203.205.138.79 203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57]
pocket.qq.com	[103.7.30.102]
phone.qq.com	[61.151.217.46 101.226.86.182]
portable.qq.com	[0.0.0.1]
pong.qq.com	[0.0.0.1]
poi.qq.com	[61.151.217.46 101.226.86.182]
prince.qq.com	[0.0.0.1]
